page_id,page_name,sector,gate_passed,gate_reason,total_score,money_score,urgency_score,fit_score,explicit_fit,implicit_fit,total_ads,share_message,share_call,share_form,share_web,dominant_cta,page_category
102942631652183,America Business College- Escuela CDL,Education,True,MESSAGE,54,16,27,11,5,6,4,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
730076206846016,Pixelency Animation Studio,Professional Services,True,MESSAGE,46,9,27,10,2,8,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
657337857460508,Suite Success LLC,Beauty & Wellness,True,MESSAGE,46,9,25,12,4,8,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
434153476620995,Akins Trailer Sales,Auto & Sales,True,MESSAGE,46,11,25,10,0,10,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
375071556659662,Adam Wolken,Legal Services,True,MESSAGE,46,7,31,8,2,6,1,100.0,0.0,0.0,0.0,CONTACT_US,
101625566208769,Phenix Salon Suites CLT,Beauty & Wellness,True,CALL,45,9,25,11,5,6,2,0.0,100.0,0.0,0.0,CALL_NOW,
1162919413853938,Godette Bade,Technology & Software,True,MESSAGE,45,14,25,6,2,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
942063478987662,Attorney Alfredo G Evangelista,Legal Services,True,MESSAGE,45,4,31,10,8,2,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
235864166600389,FoneStar Repair,Technology & Software,True,CALL,45,10,27,8,4,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
904431929418808,Vienna Regus Offices,Nonprofit & Community,True,MESSAGE,44,6,27,11,1,10,2,100.0,0.0,0.0,0.0,CONTACT_US,
1653461011536666,Avic Prod.,Finance & Accounting,True,MESSAGE,44,10,27,7,1,6,2,100.0,0.0,0.0,0.0,WHATSAPP_MESSAGE,
111769768311265,Melissa Bartlett - Hightower Heritage Real Estate - JMG,Real Estate,True,MESSAGE,44,10,25,9,1,8,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
309811488886068,East Coast Excavators,Entertainment & Media,True,MESSAGE,43,14,25,4,0,4,3,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
135493196309812,Haus Of Halcyon Beauty Parlor,Beauty & Wellness,True,MESSAGE,42,7,25,10,2,8,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
844785852052196,George Jones Appliance Repair,Home Services,True,CALL,42,8,25,9,1,8,1,0.0,100.0,0.0,0.0,CALL_NOW,
113136014154726,The Offices of BriTri,Finance & Accounting,True,MESSAGE,41,10,25,6,0,6,2,100.0,0.0,0.0,0.0,WHATSAPP_MESSAGE,
100455246425179,You Have it Maid Cleaning Service ,Home Services,True,MESSAGE,41,8,27,6,2,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
143179222384420,Log Cabin Furniture,Furniture & Retail,True,MESSAGE,40,11,25,4,0,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
1422249441364490,Mr. Mattress & More LLC,Furniture & Retail,True,CALL,39,10,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
152640558098758,BSD,Home Services,True,MESSAGE,39,10,25,4,0,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
106707330727723,Furniture World Bremerton,Furniture & Retail,True,CALL,38,9,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
330403333488117,906.sh,Technology & Software,True,MESSAGE,38,6,27,5,1,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
261511563719200,Furniture World Puyallup,Furniture & Retail,True,CALL,38,9,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
232635353261905,McElhinney Painting and Restoration,Home Services,True,CALL,38,7,25,6,0,6,1,0.0,100.0,0.0,0.0,CALL_NOW,
111541978255580,Furniture World Aberdeen,Furniture & Retail,True,CALL,38,9,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
104333538385358,HEM Fence & Construction LLC,Home Services,True,MESSAGE,37,8,25,4,0,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
101630366100972,Furniture World Snohomish,Furniture & Retail,True,CALL,37,8,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
299728789885114,Furniture World Lakewood ,Furniture & Retail,True,CALL,37,8,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
265061090032745,Furniture World Marysville,Furniture & Retail,True,CALL,37,8,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
981393778385550,A2Z Laserworks LLC,Professional Services,True,MESSAGE,36,7,25,4,0,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
423786264150918,Furniture World Oak Harbor,Furniture & Retail,True,CALL,36,7,25,4,0,4,1,0.0,100.0,0.0,0.0,CALL_NOW,
110762677304644,Brie Jeo Vercher,Technology & Software,True,MESSAGE,35,6,25,4,0,4,2,100.0,0.0,0.0,0.0,CONTACT_US,
303190653830963,Alberto Ramirez,Technology & Software,True,MESSAGE,35,6,25,4,0,4,2,100.0,0.0,0.0,0.0,CONTACT_US,
105831984697938,Ian Stein,Furniture & Retail,True,MESSAGE,35,4,25,6,0,6,1,100.0,0.0,0.0,0.0,CONTACT_US,
583277004869205,fivestarhosting,Construction & Excavation,True,MESSAGE,35,4,25,6,0,6,1,100.0,0.0,0.0,0.0,CONTACT_US,
109903653866055,Miranda Hoover,Healthcare,True,MESSAGE,35,4,25,6,2,4,1,100.0,0.0,0.0,0.0,CONTACT_US,
855669140973505,TrustLedger Bookkeeping,Finance & Accounting,True,MESSAGE,35,4,25,6,0,6,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
124687771598900,Caulfields Family Auto Sales,Auto & Sales,True,FORM,34,20,10,4,2,2,10,0.0,0.0,100.0,0.0,APPLY_NOW,
933610859832233,King Baba Zaaki ,Legal Services,True,MESSAGE,34,5,25,4,0,4,1,100.0,0.0,0.0,0.0,MESSAGE_PAGE,
103618332198895,Ghosxt,Finance & Accounting,True,FORM,33,9,12,12,4,8,2,0.0,0.0,100.0,0.0,GET_QUOTE,
792666860590936,Go Pioneer LLC,Insurance,True,FORM,33,12,14,7,5,2,2,0.0,0.0,100.0,0.0,APPLY_NOW,
103748275923001,tosti91,Education,True,MESSAGE,33,4,25,4,0,4,1,100.0,0.0,0.0,0.0,WHATSAPP_MESSAGE,
960301673813687,Tarjetas y Diseños Designs and more,Education,True,MESSAGE,33,4,25,4,0,4,1,100.0,0.0,0.0,0.0,WHATSAPP_MESSAGE,
954559591076619,Anthony Rivera,Finance & Accounting,True,MESSAGE,33,4,25,4,0,4,1,100.0,0.0,0.0,0.0,CONTACT_US,
808564842346208,Epic Tax Lab,Finance & Accounting,True,FORM,33,4,18,11,5,6,1,0.0,0.0,100.0,0.0,LEARN_MORE,
793529280514998,LLC MAVKD,Finance & Accounting,True,MESSAGE,33,4,25,4,0,4,1,100.0,0.0,0.0,0.0,WHATSAPP_MESSAGE,
110451411441057,Allied Roofing Solutions,Home Services,True,FORM,33,8,12,13,7,6,1,0.0,0.0,100.0,0.0,GET_QUOTE,
106916097540671,Michael Polley,Professional Services,True,MESSAGE,33,4,25,4,0,4,1,100.0,0.0,0.0,0.0,CONTACT_US,
363401266866908,Breezy - HVAC Business App,Technology & Software,True,FORM,31,15,12,4,2,2,6,0.0,0.0,100.0,0.0,SIGN_UP,
105876271645828,Positively Clean,Home Services,True,FORM,31,8,12,11,7,4,1,0.0,0.0,100.0,0.0,GET_QUOTE,
305876669286768,Fitness Business Fast Track,Fitness & Gym,True,FORM,30,11,10,9,5,4,3,0.0,0.0,100.0,0.0,APPLY_NOW,
309923972211800,"Fulton, Brown & Co.",Legal Services,True,FORM,29,8,12,9,3,6,1,0.0,0.0,100.0,0.0,SIGN_UP,
108368711873855,MCKI Bookkeeping,Finance & Accounting,True,FORM,29,6,12,11,5,6,1,0.0,0.0,100.0,0.0,LEARN_MORE,
165333373513645,AMW Roofing & Construction,Home Services,True,FORM,28,10,12,6,4,2,1,0.0,0.0,100.0,0.0,SIGN_UP,
117671857931054,Rainsoft of the Wiregrass,Education,True,FORM,28,9,12,7,3,4,1,0.0,0.0,100.0,0.0,BOOK_TRAVEL,
535301179946142,Astro Exterminating,Home Services,True,FORM,26,16,10,0,0,0,4,0.0,0.0,100.0,0.0,GET_QUOTE,
104582878318716,Willow Fox Author,Entertainment & Media,True,FORM,26,11,14,1,1,0,1,0.0,0.0,100.0,0.0,SHOP_NOW,
1222250964497573,Olenka Cullinan,Education,True,FORM,26,9,14,3,3,0,1,0.0,0.0,100.0,0.0,APPLY_NOW,
959759550551113,"Debt Free NOW, Horizon Debt Law Solutions",Legal Services,True,FORM,26,4,14,8,4,4,1,0.0,0.0,100.0,0.0,APPLY_NOW,
144221129149,UDallas Satish & Yasmin Gupta College of Business,Education,True,RESCUED,25,25,0,0,0,0,2,0.0,0.0,0.0,100.0,LEARN_MORE,
643763915491306,Bayridge Advisory,Finance & Accounting,True,RESCUED,24,6,2,16,10,6,2,0.0,0.0,0.0,100.0,LEARN_MORE,
100119021822496,Velocity Cycling,Education,True,FORM,24,8,12,4,2,2,1,0.0,0.0,100.0,0.0,SIGN_UP,
306752466194585,"PorterKinney, PC",Legal Services,True,FORM,24,10,12,2,0,2,1,0.0,0.0,100.0,0.0,SIGN_UP,
109491685049993,House Offer 365,Real Estate,True,FORM,23,13,10,0,0,0,2,0.0,0.0,100.0,0.0,GET_QUOTE,
287089277984327,Investments & Wealth Institute,Finance & Accounting,True,FORM,23,11,10,2,0,2,1,0.0,0.0,100.0,0.0,SIGN_UP,
112931388397777,Arab Experts Business Consultant & Visas Services,Professional Services,True,FORM,23,13,10,0,0,0,1,0.0,0.0,100.0,0.0,SIGN_UP,
656847720851333,Inkeshdtf LLC,Legal Services,True,FORM,22,10,10,2,2,0,2,0.0,0.0,100.0,0.0,SIGN_UP,
1740011049620778,FieldPulse,Technology & Software,True,FORM,22,12,10,0,0,0,1,0.0,0.0,100.0,0.0,LEARN_MORE,
392450197465092,Megan Niger Photography,Education,True,FORM,22,10,10,2,2,0,1,0.0,0.0,100.0,0.0,BOOK_NOW,
296852050169587,Oxbridge Summer Scholars,Education,True,FORM,21,10,7,4,2,2,2,0.0,0.0,50.0,50.0,LEARN_MORE,
112251220174933,"Eric Aragon, CPA",Finance & Accounting,True,RESCUED,20,16,2,2,0,2,5,0.0,0.0,0.0,100.0,LEARN_MORE,
875978745594119,Sledge Marketing,Professional Services,True,FORM,20,10,10,0,0,0,3,0.0,0.0,100.0,0.0,APPLY_NOW,
524978617371187,Fitness GM,Fitness & Gym,True,FORM,20,10,10,0,0,0,1,0.0,0.0,100.0,0.0,SIGN_UP,
430692313467409,Remote Teams & Talent - Stamp Staff,Professional Services,True,FORM,19,13,6,0,0,0,5,0.0,0.0,60.0,40.0,BOOK_TRAVEL,
210305678999899,"Glass Doctor of Livonia, MI",Healthcare,True,RESCUED,19,11,0,8,2,6,2,0.0,0.0,0.0,100.0,LEARN_MORE,
495862713604091,Ruby home,Home Services,True,FORM,19,7,10,2,2,0,1,0.0,0.0,100.0,0.0,GET_QUOTE,
829690736894004,Scrubz Cleaning,Home Services,True,FORM,19,9,10,0,0,0,1,0.0,0.0,100.0,0.0,GET_QUOTE,
202065099830972,Dr. Joe Vitale,Healthcare,True,RESCUED,19,14,4,1,1,0,1,0.0,0.0,0.0,100.0,LEARN_MORE,
239047537408684,"Brittany Conner, Realtor",Real Estate,True,RESCUED,17,15,0,2,0,2,4,0.0,0.0,0.0,100.0,,
965405053315348,Dr. Doucet,Healthcare,True,RESCUED,16,7,4,5,3,2,1,0.0,0.0,0.0,100.0,LEARN_MORE,
468314626373408,The Auto Deal Spot,Auto & Sales,True,RESCUED,15,9,0,6,4,2,4,0.0,0.0,0.0,100.0,LEARN_MORE,
216911561510694,Q+ Collective,Education,True,FORM,15,5,10,0,0,0,1,0.0,0.0,100.0,0.0,SIGN_UP,
400469210346987,Justine Hooper-Broker/Owner of Amplified Real Estate,Real Estate,True,RESCUED,15,10,0,5,1,4,1,0.0,0.0,0.0,100.0,LEARN_MORE,
368212700808993,Cumberland Coatings,Home Services,True,RESCUED,15,9,0,6,6,0,1,0.0,0.0,0.0,100.0,GET_IN_TOUCH,
821388184391028,Terra Nova Roofing,Home Services,True,RESCUED,13,7,0,6,6,0,2,0.0,0.0,0.0,100.0,LEARN_MORE,
17007508279,University of Pittsburgh School of Business,Education,True,RESCUED,13,13,0,0,0,0,2,0.0,0.0,0.0,100.0,LEARN_MORE,
1541303462822458,Colorado Property Group of RE/MAX Pinnacle,Real Estate,True,RESCUED,13,9,0,4,2,2,1,0.0,0.0,0.0,100.0,LEARN_MORE,
852732448175394,Sean Dittmer Sells Hi-Desert Real Estate,Real Estate,True,RESCUED,13,11,0,2,0,2,1,0.0,0.0,0.0,100.0,LEARN_MORE,
16252374439,Butler Community College,Education,True,RESCUED,12,12,0,0,0,0,1,0.0,0.0,0.0,100.0,LEARN_MORE,
791679354319686,Bay Capital Mortgage Corporation,Real Estate,True,RESCUED,11,9,0,2,0,2,1,0.0,0.0,0.0,100.0,LEARN_MORE,
113821070472428,Rombyk painting llc,Home Services,True,RESCUED,7,7,0,0,0,0,1,0.0,0.0,0.0,100.0,INSTAGRAM_MESSAGE,
289048604302741,Fantasy Hero Country,Other,False,NO_SIGNAL_DROP,39,28,4,7,5,2,32,0.0,0.0,0.0,100.0,LEARN_MORE,
225223170671873,Novellair-A,Other,False,NO_SIGNAL_DROP,38,26,4,8,6,2,40,0.0,0.0,0.0,100.0,LEARN_MORE,
230303593508598,Happyday,Other,False,NO_SIGNAL_DROP,37,31,2,4,4,0,110,0.0,0.0,0.0,100.0,LEARN_MORE,
487741591332537,Griffin Funding,Other,False,NO_SIGNAL_DROP,37,22,5,10,8,2,13,0.0,0.0,0.0,100.0,LEARN_MORE,
940994409096821,Love Reading-H,Content/Entertainment,False,NO_SIGNAL_DROP,36,24,4,8,6,2,100,0.0,0.0,0.0,100.0,LEARN_MORE,
866434503214847,Explore Fictional Worlds-LQ35,Other,False,NO_SIGNAL_DROP,35,23,2,10,4,6,66,0.0,0.0,0.0,100.0,LEARN_MORE,
108401345691237,JoyReels,Other,False,NO_SIGNAL_DROP,33,29,4,0,0,0,22,0.0,0.0,0.0,100.0,WATCH_MORE,
284543678078765,Worth  reading,Content/Entertainment,False,NO_SIGNAL_DROP,32,27,2,3,1,2,48,0.0,0.0,0.0,100.0,LEARN_MORE,
270290769508855,Novellair-The Reading Room,Content/Entertainment,False,NO_SIGNAL_DROP,32,28,0,4,2,2,47,0.0,0.0,0.0,100.0,LEARN_MORE,
306711812515860,Dramawave-vip,Other,False,NO_SIGNAL_DROP,32,32,0,0,0,0,44,0.0,0.0,0.0,100.0,WATCH_MORE,
207650012440288,NovellairLifestyle,Other,False,NO_SIGNAL_DROP,32,28,0,4,2,2,37,0.0,0.0,0.0,100.0,LEARN_MORE,
801051999755968,Top Novel Circle,Content/Entertainment,False,NO_SIGNAL_DROP,32,22,2,8,2,6,35,0.0,0.0,0.0,100.0,LEARN_MORE,
650806248107284,CafeDrama-JM1-25,Other,False,NO_SIGNAL_DROP,31,29,0,2,2,0,120,0.0,0.0,0.0,100.0,DOWNLOAD,
698639473332414,Fiction Obsession,Content/Entertainment,False,NO_SIGNAL_DROP,31,24,4,3,1,2,100,0.0,0.0,0.0,100.0,LEARN_MORE,
91089066763,Nextiva,Other,False,NO_SIGNAL_DROP,31,27,4,0,0,0,15,0.0,0.0,0.0,100.0,LEARN_MORE,
106673549393581,Anik Singal,Other,False,NO_SIGNAL_DROP,31,25,0,6,6,0,12,0.0,0.0,0.0,100.0,LEARN_MORE,
814611238404236,Explore Fictional Worlds-LQ08,Other,False,NO_SIGNAL_DROP,30,22,6,2,2,0,47,0.0,0.0,0.0,100.0,LEARN_MORE,
792946627233105,Literie: Where Stories Live-LQ38,Other,False,NO_SIGNAL_DROP,30,22,0,8,6,2,46,0.0,0.0,0.0,100.0,LEARN_MORE,
801059476419671,Literie-Romance-mx26,Content/Entertainment,False,NO_SIGNAL_DROP,30,21,0,9,3,6,38,0.0,0.0,0.0,100.0,LEARN_MORE,
105019517707189,Book Profits,Other,False,NO_SIGNAL_DROP,30,22,2,6,4,2,14,0.0,0.0,0.0,100.0,LEARN_MORE,
382002974991062,Minishorts-Shorts9,Other,False,NO_SIGNAL_DROP,29,29,0,0,0,0,114,0.0,0.0,0.0,100.0,WATCH_MORE,
934875116376851,Luwo-0112-12,Other,False,NO_SIGNAL_DROP,29,23,2,4,2,2,72,0.0,0.0,0.0,100.0,DOWNLOAD,
976254875565767,Luwo-0112-21,Other,False,NO_SIGNAL_DROP,29,23,2,4,2,2,62,0.0,0.0,0.0,100.0,DOWNLOAD,
744839225390600,Metronovel: Dream in Pages-LQ57,Other,False,NO_SIGNAL_DROP,29,23,4,2,2,0,55,0.0,0.0,0.0,100.0,LEARN_MORE,
115686104960034,FictionPulse,Other,False,NO_SIGNAL_DROP,29,23,4,2,2,0,51,0.0,0.0,0.0,100.0,LEARN_MORE,
814798825040771,Flick-CC,Other,False,NO_SIGNAL_DROP,29,23,2,4,2,2,17,0.0,0.0,0.0,100.0,WATCH_MORE,
395973190265986,Short Story Spotlight,Content/Entertainment,False,NO_SIGNAL_DROP,29,21,2,6,0,6,10,0.0,0.0,0.0,100.0,WATCH_MORE,
449046394958496,FlickReels 10,Other,False,NO_SIGNAL_DROP,29,23,2,4,2,2,9,0.0,0.0,0.0,100.0,WATCH_MORE,
48357502953,Maxwell Leadership,Other,False,NO_SIGNAL_DROP,29,21,2,6,0,6,6,0.0,0.0,0.0,100.0,LEARN_MORE,
369390869866652,Spectacular,Other,False,NO_SIGNAL_DROP,29,19,6,4,2,2,4,0.0,0.0,0.0,100.0,LEARN_MORE,
105728355710527,Qi Resonance,Other,False,NO_SIGNAL_DROP,29,13,4,12,10,2,2,0.0,0.0,0.0,100.0,LEARN_MORE,
820934247771341,Explore Fictional Worlds-LQ03,Other,False,NO_SIGNAL_DROP,28,22,2,4,2,2,47,0.0,0.0,0.0,100.0,LEARN_MORE,
890508264155016,Luwo-0112-11,Other,False,NO_SIGNAL_DROP,28,22,2,4,2,2,47,0.0,0.0,0.0,100.0,DOWNLOAD,
880430565160917,Whatever β3,Other,False,NO_SIGNAL_DROP,28,22,2,4,2,2,47,0.0,0.0,0.0,100.0,DOWNLOAD,
847870138405839,FictionHaven,Other,False,NO_SIGNAL_DROP,28,22,4,2,2,0,39,0.0,0.0,0.0,100.0,LEARN_MORE,
853777757808397,Romance Galaxy,Content/Entertainment,False,NO_SIGNAL_DROP,28,22,4,2,2,0,36,0.0,0.0,0.0,100.0,LEARN_MORE,
788187801051650,Explore Fictional Worlds-LQ30,Other,False,NO_SIGNAL_DROP,28,19,0,9,3,6,28,0.0,0.0,0.0,100.0,LEARN_MORE,
833913286464766,Romantic Reads Haven,Other,False,NO_SIGNAL_DROP,28,20,4,4,2,2,27,0.0,0.0,0.0,100.0,LEARN_MORE,
717297174806912,Literie-Suspense novel-mx,Content/Entertainment,False,NO_SIGNAL_DROP,28,19,0,9,3,6,26,0.0,0.0,0.0,100.0,LEARN_MORE,
847652255094524,Explore Fictional Worlds-LQ32,Other,False,NO_SIGNAL_DROP,28,19,0,9,3,6,26,0.0,0.0,0.0,100.0,LEARN_MORE,
380078049455217,Ecommerce Equation,Other,False,NO_SIGNAL_DROP,28,23,2,3,1,2,15,0.0,0.0,0.0,100.0,LEARN_MORE,
150872314778202,Minishorts-Movie13,Other,False,NO_SIGNAL_DROP,27,27,0,0,0,0,90,0.0,0.0,0.0,100.0,WATCH_MORE,
848326508360912,Queens Novels,Other,False,NO_SIGNAL_DROP,27,23,0,4,2,2,59,0.0,0.0,0.0,100.0,LEARN_MORE,
703683576172310,Metronovel: Dream in Pages-LQ52,Other,False,NO_SIGNAL_DROP,27,23,2,2,2,0,57,0.0,0.0,0.0,100.0,LEARN_MORE,
631024843428070,CafeDrama-JM1-17,Other,False,NO_SIGNAL_DROP,27,25,2,0,0,0,37,0.0,0.0,0.0,100.0,WATCH_MORE,
880246458510075,Whatever β2,Other,False,NO_SIGNAL_DROP,27,21,2,4,2,2,37,0.0,0.0,0.0,100.0,DOWNLOAD,
843174138890652,Luwo-0112-22,Other,False,NO_SIGNAL_DROP,27,21,2,4,2,2,34,0.0,0.0,0.0,100.0,DOWNLOAD,
440366759162096,FlickReels 3,Other,False,NO_SIGNAL_DROP,27,21,2,4,2,2,7,0.0,0.0,0.0,100.0,WATCH_MORE,
145361238856840,Nebraska Star Beef,Other,False,NO_SIGNAL_DROP,27,25,2,0,0,0,1,0.0,0.0,0.0,100.0,LEARN_MORE,
948500325011980,Love Reading-E,Content/Entertainment,False,NO_SIGNAL_DROP,26,24,0,2,2,0,92,0.0,0.0,0.0,100.0,LEARN_MORE,
149322631600247,Minishorts-Movie9,Other,False,NO_SIGNAL_DROP,26,26,0,0,0,0,90,0.0,0.0,0.0,100.0,WATCH_MORE,
814958238365264,Love Reading Novel,Content/Entertainment,False,NO_SIGNAL_DROP,26,24,0,2,2,0,56,0.0,0.0,0.0,100.0,LEARN_MORE,
746765405196120,Metronovel: Dream in Pages-LQ58,Other,False,NO_SIGNAL_DROP,26,22,2,2,2,0,50,0.0,0.0,0.0,100.0,LEARN_MORE,
755738827625349,Metronovel: Dream in Pages-LQ51,Other,False,NO_SIGNAL_DROP,26,22,2,2,2,0,40,0.0,0.0,0.0,100.0,LEARN_MORE,
798382820025407,Literie-A Symphony of Pages-ct,Other,False,NO_SIGNAL_DROP,26,22,2,2,2,0,40,0.0,0.0,0.0,100.0,LEARN_MORE,
